排名,学校名称,省市,毕业生就业率,综合排名
496,东北林业大学,黑龙江,94.00%,147
496,中央戏剧学院,北京,94.00%,
498,吉林师范大学,吉林,93.99%,258
499,重庆师范大学涉外商贸学院,重庆,93.97%,
500,辽宁工程技术大学,辽宁,93.91%,373
500,武汉轻工大学,湖北,93.91%,228
502,吉首大学,湖南,93.90%,364
502,辽宁中医药大学,辽宁,93.90%,273
504,大连理工大学,辽宁,93.89%,25
505,武昌工学院,湖北,93.88%,
505,长春工业大学,吉林,93.88%,313
507,哈尔滨学院,黑龙江,93.87%,427
507,华东师范大学,上海,93.87%,32
509,天津理工大学,天津,93.84%,207
510,山东工艺美术学院,山东,93.83%,
511,沈阳音乐学院,辽宁,93.82%,
512,武汉科技大学城市学院,湖北,93.81%,
513,安徽师范大学皖江学院,安徽,93.79%,
514,中南财经政法大学,湖北,93.78%,77
515,南京大学,江苏,93.77%,7
516,成都理工大学,四川,93.76%,247
516,中国海洋大学,山东,93.76%,60
518,辽宁何氏医学院,辽宁,93.74%,
518,长安大学,陕西,93.74%,126
520,济南大学,山东,93.68%,157
521,福州大学,福建,93.67%,67
521,湖南农业大学,湖南,93.67%,217
523,武汉东湖学院,湖北,93.63%,
524,重庆理工大学,重庆,93.61%,279
525,山东青年政治学院,山东,93.60%,
525,中国科学技术大学,安徽,93.60%,6
527,安徽三联学院,安徽,93.58%,
527,重庆师范大学,重庆,93.58%,270
529,中国矿业大学徐海学院,江苏,93.57%,
530,桂林医学院,广西,93.56%,243
531,武汉工程科技学院,湖北,93.55%,
532,枣庄学院,山东,93.53%,600
533,四川师范大学,四川,93.51%,243
534,安徽师范大学,安徽,93.50%,215
534,内江师范学院,四川,93.50%,479
534,山东体育学院,山东,93.50%,
537,武昌理工学院,湖北,93.47%,
538,钦州学院,广西,93.45%,489
538,青海民族大学,青海,93.45%,
540,河北师范大学,河北,93.41%,173
540,上海海关学院,上海,93.41%,
542,河北医科大学临床学院,河北,93.38%,
543,郑州成功财经学院,河南,93.36%,
544,南京体育学院,江苏,93.33%,
545,安徽大学,安徽,93.32%,118
545,西安外事学院,陕西,93.32%,
547,西安建筑科技大学,陕西,93.31%,220
548,湖南科技大学,湖南,93.30%,254
548,湖南科技学院,湖南,93.30%,574
548,武汉纺织大学,湖北,93.30%,184
551,西北大学现代学院,陕西,93.29%,
552,海南师范大学,海南,93.27%,352
552,六盘水师范学院,贵州,93.27%,
552,浙江海洋大学东海科学技术学院,浙江,93.27%,
555,贵阳学院,贵州,93.26%,574
556,池州学院,安徽,93.25%,561
556,梧州学院,广西,93.25%,
558,湖南文理学院,湖南,93.24%,438
558,聊城大学东昌学院,山东,93.24%,
560,上海财经大学,上海,93.23%,39
561,武汉设计工程学院,湖北,93.22%,
562,电子科技大学成都学院,四川,93.21%,
562,深圳大学,广东,93.21%,91
564,文华学院,湖北,93.19%,
565,齐鲁医药学院,山东,93.18%,
566,贵州医科大学神奇民族医药学院,贵州,93.17%,
566,天津音乐学院,天津,93.17%,
566,西安理工大学,陕西,93.17%,191
569,铜陵学院,安徽,93.15%,566
570,湖北理工学院,湖北,93.14%,408
570,怀化学院,湖南,93.14%,580
572,青岛农业大学,山东,93.13%,454
573,南京中医药大学,江苏,93.12%,169
573,重庆邮电大学,重庆,93.12%,195
575,贵州民族大学人文科技学院,贵州,93.11%,
575,山东财经大学东方学院,山东,93.11%,
577,长春中医药大学,吉林,93.10%,265
578,福建江夏学院,福建,93.08%,
578,桂林电子科技大学,广西,93.08%,256
578,南京中医药大学翰林学院,江苏,93.08%,
578,武汉体育学院,湖北,93.08%,
582,绍兴文理学院,浙江,93.07%,296
582,武汉工程大学邮电与信息工程学院,湖北,93.07%,
584,贵阳中医学院,贵州,93.06%,539
585,吉林农业大学,吉林,93.04%,377
586,长江大学,湖北,93.03%,220
587,大连交通大学,辽宁,93.02%,301
587,郑州大学,河南,93.02%,147
589,福建中医药大学,福建,93.01%,258
590,黄冈师范学院,湖北,92.97%,296
591,西南政法大学,重庆,92.96%,
592,天津农学院,天津,92.94%,479
593,宁夏大学,宁夏,92.92%,296
594,陕西师范大学,陕西,92.91%,102
595,湖北民族学院,湖北,92.90%,386
595,烟台大学,山东,92.90%,308
597,重庆第二师范学院,重庆,92.88%,489
598,蚌埠学院,安徽,92.86%,590
599,武汉音乐学院,湖北,92.85%,
600,河北建筑工程学院,河北,92.82%,
601,苏州大学,江苏,92.81%,27
602,宜宾学院,四川,92.80%,537
603,湖南第一师范学院,湖南,92.79%,377
603,湖南师范大学,湖南,92.79%,110
605,广西中医药大学,广西,92.78%,258
606,西华大学,四川,92.77%,377
607,武汉华夏理工学院,湖北,92.76%,
608,黑河学院,黑龙江,92.75%,
609,许昌学院,河南,92.73%,485
610,银川能源学院,宁夏,92.72%,
611,陕西中医药大学,陕西,92.71%,386
612,华中师范大学,湖北,92.70%,43
612,重庆警察学院,重庆,92.70%,
614,广西大学行健文理学院,广西,92.68%,
615,河南财经政法大学,河南,92.63%,279
616,西安科技大学,陕西,92.61%,348
617,安徽工业大学工商学院,安徽,92.60%,
617,南京大学金陵学院,江苏,92.60%,
619,贺州学院,广西,92.59%,542
620,大连民族大学,辽宁,92.58%,313
621,沈阳化工大学,辽宁,92.57%,415
622,吉首大学张家界学院,湖南,92.53%,
622,山东交通学院,山东,92.53%,553
624,武汉工商学院,湖北,92.51%,
624,新疆财经大学,新疆,92.51%,
626,贵州大学科技学院,贵州,92.44%,
626,淮南师范学院,安徽,92.44%,593
626,西安工业大学,陕西,92.44%,323
626,西安外国语大学,陕西,92.44%,
630,潍坊学院,山东,92.41%,587
631,长沙医学院,湖南,92.38%,
632,哈尔滨商业大学,黑龙江,92.37%,352
632,宁夏大学新华学院,宁夏,92.37%,
634,西北工业大学明德学院,陕西,92.36%,
635,河南工业大学,河南,92.35%,294
636,湖北经济学院,湖北,92.34%,235
637,烟台南山学院,山东,92.31%,
638,泰山学院,山东,92.29%,553
639,首都师范大学科德学院,北京,92.28%,
640,中国矿业大学银川学院,宁夏,92.27%,
641,吉林财经大学,吉林,92.26%,273
642,成都体育学院,四川,92.25%,
643,湖南女子学院,湖南,92.22%,
644,北京体育大学,北京,92.20%,161
644,长春大学,吉林,92.20%,346
646,安徽大学江淮学院,安徽,92.16%,
646,甘肃农业大学,甘肃,92.16%,467
646,桂林理工大学博文管理学院,广西,92.16%,
646,湖南商学院,湖南,92.16%,352
650,南开大学滨海学院,天津,92.13%,
651,陕西学前师范学院,陕西,92.12%,
651,武汉传媒学院,湖北,92.12%,
651,西安文理学院,陕西,92.12%,425
651,新乡学院,河南,92.12%,532
651,重庆科技学院,重庆,92.12%,493
656,洛阳理工学院,河南,92.11%,474
656,天津城建大学,天津,92.11%,438
658,天津师范大学,天津,92.10%,157
659,山东英才学院,山东,92.06%,
660,湖北医药学院药护学院,湖北,92.04%,
661,河南师范大学,河南,92.02%,207
662,湖北大学,湖北,92.01%,120
662,中山大学,广东,92.01%,9
664,大连财经学院,辽宁,92.00%,
664,长江大学工程技术学院,湖北,92.00%,
664,中国地质大学长城学院,河北,92.00%,
667,中南林业科技大学,湖南,91.97%,270
668,昆明理工大学,云南,91.96%,258
669,安徽建筑大学,安徽,91.95%,364
670,青岛理工大学,山东,91.92%,285
671,榆林学院,陕西,91.91%,566
672,山东大学,山东,91.89%,24
673,江汉大学,湖北,91.84%,243
674,湖北工业大学工程技术学院,湖北,91.82%,
675,西京学院,陕西,91.81%,
676,安顺学院,贵州,91.80%,
677,南华大学,湖南,91.79%,250
678,湖北医药学院,湖北,91.78%,287
678,长春理工大学,吉林,91.78%,199
680,淮北师范大学信息学院,安徽,91.76%,
681,防灾科技学院,河北,91.74%,
682,常州工学院,江苏,91.69%,434
682,湖南人文科技学院,湖南,91.69%,
684,贵阳中医学院时珍学院,贵州,91.68%,
685,天津师范大学津沽学院,天津,91.67%,
686,重庆工商大学派斯学院,重庆,91.66%,
687,西安邮电大学,陕西,91.64%,279
688,广西科技大学鹿山学院,广西,91.62%,
689,北京电影学院现代创意媒体学院,山东,91.60%,
690,商洛学院,陕西,91.59%,572
691,湖南工程学院,湖南,91.58%,503
691,西安科技大学高新学院,陕西,91.58%,
693,西安思源学院,陕西,91.55%,
694,汉口学院,湖北,91.54%,
695,山东警察学院,山东,91.51%,
696,西南石油大学,四川,91.49%,250
697,山西师范大学,山西,91.48%,247
698,湖北工程学院,湖北,91.46%,333
699,山东师范大学,山东,91.45%,176
700,三峡大学科技学院,湖北,91.41%,
701,河南大学,河南,91.39%,173
701,湖北师范大学文理学院,湖北,91.39%,
703,河北农业大学,河北,91.37%,235
703,山东建筑大学,山东,91.37%,408
703,兴义民族师范学院,贵州,91.37%,
706,牡丹江医学院,黑龙江,91.34%,391
707,重庆邮电大学移通学院,重庆,91.33%,
708,青海师范大学,青海,91.29%,525
709,湖南城市学院,湖南,91.27%,521
710,华北理工大学轻工学院,河北,91.26%,
711,曲阜师范大学,山东,91.24%,268
712,安徽科技学院,安徽,91.20%,588
712,河南农业大学,河南,91.20%,302
712,华南师范大学,广东,91.20%,102
712,山西农业大学,山西,91.20%,373
716,湖北大学知行学院,湖北,91.19%,
717,延安大学,陕西,91.17%,420
718,西安航空学院,陕西,91.16%,
719,贵州医科大学,贵州,91.15%,337
719,重庆医科大学,重庆,91.15%,129
721,广西师范大学漓江学院,广西,91.14%,
722,四川美术学院,重庆,91.10%,
722,中北大学,山西,91.10%,258
724,哈尔滨医科大学,黑龙江,91.09%,117
725,天津外国语大学滨海外事学院,天津,91.08%,
726,河南理工大学,河南,91.00%,254
726,青海大学,青海,91.00%,408
728,宝鸡文理学院,陕西,90.98%,454
729,西安建筑科技大学华清学院,陕西,90.97%,
730,沈阳体育学院,辽宁,90.96%,
731,湖北商贸学院,湖北,90.94%,
732,齐齐哈尔医学院,黑龙江,90.93%,358
732,青岛工学院,山东,90.93%,
734,广西外国语学院,广西,90.92%,
734,河北工程大学,河北,90.92%,313
736,吉林建筑大学,吉林,90.90%,454
737,武汉晴川学院,湖北,90.88%,
738,中原工学院,河南,90.86%,434
739,唐山学院,河北,90.82%,438
740,陕西科技大学镐京学院,陕西,90.81%,
741,江苏理工学院,江苏,90.80%,323
741,青海大学昆仑学院,青海,90.80%,
741,山西农业大学信息学院,山西,90.80%,
744,安康学院,陕西,90.78%,
744,新疆艺术学院,新疆,90.78%,
746,河北经贸大学经济管理学院,河北,90.75%,
747,西安医学院,陕西,90.74%,364
748,江苏大学京江学院,江苏,90.72%,
749,湘南学院,湖南,90.69%,503
750,青岛科技大学,山东,90.67%,191
751,黑龙江工商学院,黑龙江,90.66%,
752,上海财经大学浙江学院,浙江,90.64%,
753,广西师范学院师园学院,广西,90.63%,
753,重庆工商大学,重庆,90.63%,188
755,河南警察学院,河南,90.62%,
755,青岛大学,山东,90.62%,137
757,陕西国际商贸学院,陕西,90.61%,
758,海南医学院,海南,90.60%,386
759,哈尔滨理工大学,黑龙江,90.59%,279
760,宁夏医科大学,宁夏,90.57%,199
760,潍坊科技学院,山东,90.57%,
762,新疆医科大学,新疆,90.54%,258
763,安徽财经大学商学院,安徽,90.53%,
764,三明学院,福建,90.52%,
765,鲁迅美术学院,辽宁,90.50%,
766,山西大学商务学院,山西,90.49%,
767,内蒙古工业大学,内蒙古,90.46%,489
768,大连工业大学艺术与信息工程学院,辽宁,90.45%,
769,西安财经学院行知学院,陕西,90.43%,
770,河北科技师范学院,河北,90.42%,386
771,太原科技大学,山西,90.40%,340
772,江西理工大学应用科学学院,江西,90.36%,
772,内蒙古大学创业学院,内蒙古,90.36%,
772,西安石油大学,陕西,90.36%,385
775,江苏科技大学苏州理工学院,江苏,90.31%,
776,唐山师范学院,河北,90.30%,474
777,衡阳师范学院南岳学院,湖南,90.26%,
777,重庆人文科技学院,重庆,90.26%,
779,福建师范大学协和学院,福建,90.25%,
779,淮北师范大学,安徽,90.25%,364
781,西安工程大学,陕西,90.21%,397
782,衡阳师范学院,湖南,90.20%,496
782,内蒙古民族大学,内蒙古,90.20%,535
784,上海立信会计金融学院,上海,90.18%,228
785,海南热带海洋学院,海南,90.17%,
786,河北大学,河北,90.16%,154
787,大理大学,云南,90.15%,319
787,湖南商学院北津学院,湖南,90.15%,
789,湖南文理学院芙蓉学院,湖南,90.14%,
790,鞍山师范学院,辽宁,90.13%,506
791,河北经贸大学,河北,90.12%,302
792,黑龙江中医药大学,黑龙江,90.11%,217
792,西安理工大学高科学院,陕西,90.11%,
794,湖南涉外经济学院,湖南,90.10%,
794,中央民族大学,北京,90.10%,91
796,烟台大学文经学院,山东,90.07%,
797,燕山大学里仁学院,河北,90.05%,
797,中南民族大学,湖北,90.05%,167
799,安徽文达信息工程学院,安徽,90.03%,
800,承德医学院,河北,89.99%,340
801,贵州师范学院,贵州,89.98%,403
802,吉林工程技术师范学院,吉林,89.97%,
803,天津医科大学,天津,89.95%,52
804,安徽外国语学院,安徽,89.94%,
804,喀什大学,新疆,89.94%,
806,湖南科技大学潇湘学院,湖南,89.85%,
807,中国美术学院,浙江,89.79%,
808,广州商学院,广东,89.77%,
809,绵阳师范学院,四川,89.71%,526
810,江西财经大学,江西,89.69%,137
811,华东交通大学,江西,89.68%,323
812,沧州师范学院,河北,89.67%,
813,忻州师范学院,山西,89.63%,408
814,渭南师范学院,陕西,89.60%,542
815,天津职业技术师范大学,天津,89.58%,496
815,新疆师范大学,新疆,89.58%,493
817,吉林华桥外国语学院,吉林,89.47%,
817,通化师范学院,吉林,89.47%,443
819,太原理工大学现代科技学院,山西,89.43%,
820,黑龙江大学,黑龙江,89.40%,152
820,湖北第二师范学院,湖北,89.40%,212
822,哈尔滨金融学院,黑龙江,89.38%,
823,安庆师范大学,安徽,89.37%,511
824,济宁学院,山东,89.30%,582
824,太原理工大学,山西,89.30%,128
826,新疆农业大学,新疆,89.17%,562
827,赤峰学院,内蒙古,89.14%,596
828,曲靖师范学院,云南,89.13%,427
829,湖南师范大学树达学院,湖南,89.12%,
830,兰州大学,甘肃,89.09%,57
831,江西科技学院,江西,89.07%,
832,贵州工程应用技术学院,贵州,88.99%,
833,湖南工业大学,湖南,88.96%,235
834,西安财经学院,陕西,88.92%,408
835,安徽农业大学经济技术学院,安徽,88.89%,
836,四川音乐学院,四川,88.85%,
837,西安翻译学院,陕西,88.81%,
838,邯郸学院,河北,88.77%,537
839,兰州财经大学,甘肃,88.75%,
840,呼和浩特民族学院,内蒙古,88.70%,
840,晋中学院,山西,88.70%,
842,湘潭大学兴湘学院,湖南,88.67%,
843,黑龙江财经学院,黑龙江,88.62%,
844,天津中医药大学,天津,88.60%,184
845,延安大学西安创新学院,陕西,88.59%,
846,保定学院,河北,88.55%,
847,贵州大学,贵州,88.53%,225
848,山西财经大学,山西,88.50%,241
849,江西师范大学,江西,88.49%,223
849,太原工业学院,山西,88.49%,474
851,贵州财经大学商务学院,贵州,88.38%,
852,内蒙古医科大学,内蒙古,88.30%,329
853,南昌工程学院,江西,88.27%,518
854,江汉大学文理学院,湖北,88.16%,
855,韩山师范学院,广东,88.05%,521
855,河池学院,广西,88.05%,
857,江西中医药大学,江西,88.02%,443
858,潍坊医学院,山东,87.91%,358
859,湖南财政经济学院,湖南,87.86%,463
860,白城师范学院,吉林,87.80%,
860,昌吉学院,新疆,87.80%,
862,江西农业大学,江西,87.76%,427
863,长沙理工大学城南学院,湖南,87.73%,
864,河南师范大学新联学院,河南,87.65%,
865,湖南农业大学东方科技学院,湖南,87.61%,
866,山东师范大学历山学院,山东,87.50%,
866,咸阳师范学院,陕西,87.50%,526
868,东北师范大学人文学院,吉林,87.46%,
869,北京师范大学-香港浸会大学联合国际学院,广东,87.45%,
870,哈尔滨广厦学院,黑龙江,87.43%,
871,西安音乐学院,陕西,87.32%,
872,西北大学,陕西,87.31%,98
872,西北民族大学,甘肃,87.31%,534
874,南昌工学院,江西,87.30%,
875,江西警察学院,江西,87.29%,
876,南阳理工学院,河南,87.10%,553
877,景德镇陶瓷大学,江西,87.08%,485
878,湖南工业大学科技学院,湖南,87.05%,
879,内蒙古财经大学,内蒙古,86.90%,
880,长春工程学院,吉林,86.87%,548
881,大庆师范学院,黑龙江,86.83%,
882,河北体育学院,河北,86.80%,
883,泰山医学院,山东,86.76%,403
884,菏泽学院,山东,86.73%,
885,太原师范学院,山西,86.71%,358
886,山西工商学院,山西,86.70%,
886,天津天狮学院,天津,86.70%,
888,安徽医科大学临床医学院,安徽,86.69%,
889,上饶师范学院,江西,86.59%,
890,青岛农业大学海都学院,山东,86.57%,
891,南昌大学,江西,86.50%,135
892,河南大学民生学院,河南,86.48%,
893,东北电力大学,吉林,86.45%,270
894,东华理工大学,江西,86.43%,427
895,西安体育学院,陕西,86.27%,
896,南昌航空大学,江西,86.25%,364
896,新余学院,江西,86.25%,
898,甘肃中医药大学,甘肃,86.22%,
899,井冈山大学,江西,86.17%,518
900,赣南医学院,江西,86.16%,420
900,江西科技师范大学,江西,86.16%,408
900,萍乡学院,江西,86.16%,
903,伊犁师范学院,新疆,86.00%,588
904,海口经济学院,海南,85.99%,
905,内蒙古师范大学,内蒙古,85.98%,553
906,山西大学,山西,85.77%,145
907,河南科技大学,河南,85.74%,313
908,山西大同大学,山西,85.72%,352
909,长春理工大学光电信息学院,吉林,85.65%,
910,新乡医学院三全学院,河南,85.62%,
911,哈尔滨剑桥学院,黑龙江,85.60%,
912,湖北科技学院,湖北,85.50%,401
912,绥化学院,黑龙江,85.50%,
914,运城学院,山西,85.46%,472
915,中国石油大学胜利学院,山东,85.45%,
916,河北农业大学现代科技学院,河北,85.42%,
917,湖南工程学院应用技术学院,湖南,85.41%,
917,吉林医药学院,吉林,85.41%,403
919,武汉体育学院体育科技学院,湖北,85.29%,
920,长春建筑学院,吉林,85.17%,
921,吉林建筑大学城建学院,吉林,85.16%,
922,山西师范大学现代文理学院,山西,85.08%,
923,牡丹江师范学院,黑龙江,85.04%,551
924,天津商业大学,天津,85.03%,340
925,海南大学,海南,84.88%,215
926,南昌大学科学技术学院,江西,84.80%,
927,赣南师范大学,江西,84.69%,474
928,武汉纺织大学外经贸学院,湖北,84.67%,
929,河北工业大学城市学院,河北,84.64%,
929,宜春学院,江西,84.64%,578
931,中南林业科技大学涉外学院,湖南,84.60%,
932,吉林警察学院,吉林,84.56%,
933,遵义医学院医学与科技学院,贵州,84.54%,
934,内蒙古大学,内蒙古,84.40%,204
935,内蒙古农业大学,内蒙古,84.34%,542
936,西安美术学院,陕西,84.22%,
937,南华大学船山学院,湖南,84.08%,
938,华北电力大学科技学院,河北,84.07%,
939,江西财经大学现代经济管理学院,江西,83.98%,
940,江西农业大学南昌商学院,江西,83.94%,
941,景德镇陶瓷大学科技艺术学院,江西,83.92%,
942,南昌航空大学科技学院,江西,83.33%,
943,郑州工商学院,河南,83.20%,
944,山西中医学院,山西,83.16%,
945,西北政法大学,陕西,83.10%,
946,江西师范大学科学技术学院,江西,83.01%,
947,湖南中医药大学湘杏学院,湖南,82.58%,
947,长春大学旅游学院,吉林,82.58%,
949,东华理工大学长江学院,江西,82.54%,
950,西安欧亚学院,陕西,82.52%,
951,吉林体育学院,吉林,82.25%,
952,西南医科大学,四川,82.16%,265
953,江西中医药大学科技学院,江西,82.06%,
954,长春科技学院,吉林,81.99%,
955,山东艺术学院,山东,81.88%,
956,东北石油大学,黑龙江,81.71%,289
957,长春工业大学人文信息学院,吉林,81.64%,
958,江西科技师范大学理工学院,江西,81.44%,
959,内蒙古科技大学,内蒙古,81.41%,548
960,佳木斯大学,黑龙江,81.34%,460
961,河北工程大学科信学院,河北,81.21%,
962,吉林师范大学博达学院,吉林,81.14%,
963,河套学院,内蒙古,81.00%,
964,山东财经大学燕山学院,山东,80.96%,
965,西安工业大学北方信息工程学院,陕西,80.90%,
966,北华大学,吉林,80.67%,391
967,新疆工程学院,新疆,80.65%,
968,南昌大学共青学院,江西,80.61%,
969,吉林农业科技学院,吉林,80.60%,
970,黑龙江八一农垦大学,黑龙江,80.56%,535
971,吉林工商学院,吉林,80.45%,
972,阜阳师范学院信息工程学院,安徽,80.28%,
973,长治医学院,山西,79.40%,391
974,中北大学信息商务学院,山西,78.65%,
975,延边大学,吉林,78.44%,228
976,山西医科大学,山西,77.91%,287
977,长治学院,山西,76.60%,
978,山西医科大学晋祠学院,山西,76.44%,
979,安徽建筑大学城市建设学院,安徽,76.40%,
980,哈尔滨师范大学,黑龙江,71.39%,273
981,塔里木大学,新疆,70.70%,596
982,中央司法警官学院,河北,70.00%,
983,兰州工业学院,甘肃,69.85%,
984,湖北警官学院,湖北,49.35%,
985,山西财经大学华商学院,山西,49.28%,
986,兰州财经大学长青学院,甘肃,40.94%,
,,,,
,,,,
,,,,
